config,doc_hit@1,doc_hit@3,doc_hit@5,doc_hit@10,doc_recall@1,doc_recall@3,doc_recall@5,doc_recall@10,page_hit@1,page_hit@3,page_hit@5,page_hit@10,page_recall@1,page_recall@3,page_recall@5,page_recall@10,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@1,chunk_recall@3,chunk_recall@5,chunk_recall@10,ref_answer_hit@1,ref_answer_hit@3,ref_answer_hit@5,ref_answer_hit@10,mrr,context_bleu@1,context_bleu@3,context_bleu@5,context_bleu@10,context_rougeL@1,context_rougeL@3,context_rougeL@5,context_rougeL@10
hybrid_rrf_alpha0.60_k10,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.60_k30,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.60_k60,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.75_k10,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.75_k30,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.75_k60,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.85_k10,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.85_k30,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.85_k60,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
hybrid_rrf_alpha0.90_k10,0.19333333333333333,0.41333333333333333,0.5,0.5,0.19333333333333333,0.41333333333333333,0.5,0.5,0.08,0.14,0.17333333333333334,0.17333333333333334,0.07,0.12666666666666668,0.15666666666666668,0.15666666666666668,0.12666666666666668,0.20666666666666667,0.28,0.28,0.11333333333333333,0.1822222222222222,0.23888888888888885,0.23888888888888885,0.006666666666666667,0.02,0.02,0.02,0.17588888888888887,0.10473410327920696,0.14938958082504553,0.1760818591055526,0.1760818591055526,0.2084898964920337,0.25716806401286735,0.29007390083081114,0.29007390083081114
